地区,二零一八年,二零一七年,二零一六年,二零一五年,二零一四年,二零一三年,二零一二年,二零一一年,二零一零年
北京,594.6,586.83,580.42,569.13,551.57,636.91,498.6,475.92,448.12
天津,352.9,358.37,358.45,344.44,312.68,292.29,277.94,290.71,262.19
河北,734.6,850.99,857.22,922.47,914.4,865.82,792.61,719.6,670.38
山西,382,443.05,455.96,519.8,515.25,498.9,474.76,462.6,424.03
内蒙古,228.4,273,339.15,347.34,342.04,317.95,319.83,317.23,313.93
辽宁,732.8,800.11,842.14,934.63,935.33,995.54,921.59,810.27,752.58
吉林,453.5,466.51,526.41,595.43,574.78,556.48,512.17,487.17,452.41
黑龙江,591.6,606.14,651.39,685.68,764.6,703.87,613.24,550.78,521.3
上海,484,519.28,522.97,745.45,687.79,681.76,647.99,627.18,573.02
江苏,1640.5,1605.82,2068.64,2225.85,2291.47,2249.44,2177.86,1987.86,1885.88
浙江,1434.7,1419.56,1526.08,1562.57,1499.71,1449.05,1357.34,1330.93,1183.65
安徽,796,837.39,878.09,829.97,769.48,708.26,518.83,490.78,461.1
福建,716.2,727.02,738.89,730.68,724.03,691.53,659.67,652.13,613.16
江西,618.2,638.15,662.66,669.78,609.44,595.19,539.84,489.7,439.47
山东,1684.2,1765.7,1848.07,1806.77,1889.75,1870.15,1835.4,1802.26,1650.88
河南,974.9,1011.59,1056.49,1013.31,1030.47,1034.36,850.44,787.23,725.14
湖北,1082.8,1082.94,1060.75,1067.8,1056.67,1045.31,1048.38,987.75,894.07
湖南,1014.6,1181.87,1267.29,1133.61,878.03,841.06,745.88,695.94,641.46
广东,1844.9,1798.13,二零一7.08,1972.78,2161.86,1960,1913.01,1825.03,1701.53
广西,689.3,678.73,690.42,669.99,639.12,623.44,622.99,436.22,467.91
海南,226.7,131.71,115.15,115.31,117.8,110.01,95.08,85.48,79.75
重庆,736.8,351.47,415.33,478.02,504.07,519.53,509.27,508.76,492.12
四川,1181.6,1088.43,1132.53,1367.37,1471.09,1450.9,1392.68,1340.34,1299.7
贵州,702.9,576.43,457,421.92,386.18,394.28,396.61,396.57,335.23
云南,460.3,407.97,405.36,442.4,489.77,520.35,551.9,533.74,495.99
西藏,24.1,23.62,24.71,23.51,22.18,21.52,18.59,17.88,17.54
陕西,730.7,693.56,720.36,694.86,654.72,639.47,596.28,551.11,507.43
甘肃,191.6,200.99,206.14,233.58,206.41,207.34,二零一.17,220.46,206.89
青海,95.8,44.91,54.73,69.16,70,61.9,60.92,40.15,39.76
宁夏,105.7,68,104.71,102.36,96.37,89.8,83.21,79.56,70.57
新疆,325.1,207.36,244.9,270.78,291.21,261.39,216.81,208.01,192.45
